,ticker,2025-03-31 00:00:00,2024-03-31 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2025-08-31 00:00:00,2024-08-31 00:00:00,2023-08-31 00:00:00,2022-08-31 00:00:00
Depreciation And Amortization In Income Statement,9432,1722035000000.0,1628586000000.0,1582625000000.0,1561183000000.0,,,,,
Depreciation Income Statement,9432,1722035000000.0,1628586000000.0,1582625000000.0,1561183000000.0,,,,,
Gross Profit,9432,10606124000000.0,10439104000000.0,10367483000000.0,9590320000000.0,,,,,
Cost Of Revenue,9432,3098603000000.0,2935465000000.0,2768711000000.0,2566127000000.0,,,,,
Total Revenue,9432,13704727000000.0,13374569000000.0,13136194000000.0,12156447000000.0,,,,,
Operating Revenue,9432,13704727000000.0,13374569000000.0,13136194000000.0,12156447000000.0,,,,,
Tax Effect Of Unusual Items,9433,0.0,0.0,0.0,0.0,,,,,
Tax Rate For Calcs,9433,0.306,0.339,0.314,0.312,,,,,
Normalized EBITDA,9433,1821038000000.0,1690289000000.0,1785333000000.0,1800344000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,9433,685677000000.0,637874000000.0,679113000000.0,672486000000.0,,,,,
Reconciled Depreciation,9433,686788000000.0,687349000000.0,697152000000.0,728101000000.0,,,,,
Reconciled Cost Of Revenue,9433,3409577000000.0,3323514000000.0,3260030000000.0,2984589000000.0,,,,,
EBITDA,9433,1821038000000.0,1690289000000.0,1785333000000.0,1800344000000.0,,,,,
EBIT,9433,1134250000000.0,1002940000000.0,1088181000000.0,1072243000000.0,,,,,
Net Interest Income,9433,-19513000000.0,11651000000.0,1517000000.0,2456000000.0,,,,,
Interest Expense,9433,29625000000.0,10215000000.0,8658000000.0,7746000000.0,,,,,
Interest Income,9433,10112000000.0,21866000000.0,10175000000.0,10202000000.0,,,,,
Normalized Income,9433,685677000000.0,637874000000.0,679113000000.0,672486000000.0,,,,,
Net Income From Continuing And Discontinued Operation,9433,685677000000.0,637874000000.0,679113000000.0,672486000000.0,,,,,
Total Expenses,9433,4826781000000.0,4802408000000.0,4600582000000.0,4391908000000.0,,,,,
Total Operating Income As Reported,9433,1118674000000.0,961584000000.0,1077393000000.0,1060592000000.0,,,,,
Diluted Average Shares,9433,,4235832393.0,4369032000.0,4487290000.0,4589454405.0,,,,
Basic Average Shares,9433,4049353334.0,4234707562.0,4367214000.0,4482860000.0,,,,,
Diluted EPS,9433,,150.59,155.44,149.865,141.955,,,,
Basic EPS,9433,,150.63,155.505,150.015,142.08,,,,
Diluted NI Availto Com Stockholders,9433,685677000000.0,637874000000.0,679113000000.0,672486000000.0,,,,,
Net Income Common Stockholders,9433,685677000000.0,637874000000.0,679113000000.0,672486000000.0,,,,,
Otherunder Preferred Stock Dividend,9433,0.0,0.0,0.0,0.0,,,,,
Net Income,9433,685677000000.0,637874000000.0,679113000000.0,672486000000.0,,,,,
Minority Interests,9433,-80430000000.0,-18230000000.0,-60926000000.0,-60054000000.0,,,,,
Net Income Including Noncontrolling Interests,9433,766107000000.0,656104000000.0,740039000000.0,732540000000.0,,,,,
Net Income Continuous Operations,9433,766107000000.0,656104000000.0,740039000000.0,732540000000.0,,,,,
Tax Provision,9433,338517000000.0,336621000000.0,339484000000.0,331957000000.0,,,,,
Pretax Income,9433,1104625000000.0,992725000000.0,1079523000000.0,1064497000000.0,,,,,
Other Non Operating Income Expenses,9433,5464000000.0,19490000000.0,612000000.0,1448000000.0,,,,,
Net Non Operating Interest Income Expense,9433,-19513000000.0,11651000000.0,1517000000.0,2456000000.0,,,,,
Interest Expense Non Operating,9433,29625000000.0,10215000000.0,8658000000.0,7746000000.0,,,,,
Interest Income Non Operating,9433,10112000000.0,21866000000.0,10175000000.0,10202000000.0,,,,,
Operating Income,9433,1091172000000.0,951639000000.0,1071179000000.0,1054800000000.0,,,,,
Operating Expense,9433,1417204000000.0,1478894000000.0,1340552000000.0,1407319000000.0,,,,,
Other Operating Expenses,9433,2993000000.0,8165000000.0,3790000000.0,5781000000.0,,,,,
Selling General And Administration,9433,1426974000000.0,1503680000000.0,1408391000000.0,1422539000000.0,,,,,
General And Administrative Expense,9433,1426974000000.0,1503680000000.0,1408391000000.0,1422539000000.0,,,,,
Gross Profit,9433,2508376000000.0,2430533000000.0,2411731000000.0,2462119000000.0,,,,,
Cost Of Revenue,9433,3409577000000.0,3323514000000.0,3260030000000.0,2984589000000.0,,,,,
Total Revenue,9433,5917953000000.0,5754047000000.0,5671762000000.0,5446708000000.0,,,,,
Operating Revenue,9433,5917953000000.0,5754047000000.0,5671762000000.0,5446708000000.0,,,,,
Tax Effect Of Unusual Items,9501,-10360572000.0,-13303440000.0,40247824000.0,-5496544000.0,,,,,
Tax Rate For Calcs,9501,0.186,0.108,0.232,0.232,,,,,
Normalized EBITDA,9501,691581000000.0,841691000000.0,104034000000.0,498868000000.0,,,,,
Total Unusual Items,9501,-55702000000.0,-123180000000.0,173482000000.0,-23692000000.0,,,,,
Total Unusual Items Excluding Goodwill,9501,-55702000000.0,-123180000000.0,173482000000.0,-23692000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,9501,161278000000.0,267850000000.0,-123631000000.0,2916000000.0,,,,,
Reconciled Depreciation,9501,367517000000.0,358207000000.0,341145000000.0,419203000000.0,,,,,
Reconciled Cost Of Revenue,9501,6575938000000.0,6639532000000.0,8341195000000.0,5263693000000.0,,,,,
EBITDA,9501,635879000000.0,718511000000.0,277516000000.0,475176000000.0,,,,,
EBIT,9501,268362000000.0,360304000000.0,-63629000000.0,55973000000.0,,,,,
Net Interest Income,9501,-66666000000.0,-57050000000.0,-48003000000.0,-44258000000.0,,,,,
Interest Expense,9501,69621000000.0,57959000000.0,48282000000.0,44622000000.0,,,,,
Interest Income,9501,2955000000.0,909000000.0,279000000.0,364000000.0,,,,,
Normalized Income,9501,206619428000.0,377726560000.0,-256865176000.0,21111456000.0,,,,,
Net Income From Continuing And Discontinued Operation,9501,161278000000.0,267850000000.0,-123631000000.0,2916000000.0,,,,,
Total Expenses,9501,6575938000000.0,6639532000000.0,8341195000000.0,5263693000000.0,,,,,
Total Operating Income As Reported,9501,234452000000.0,278856000000.0,-228969000000.0,46230000000.0,,,,,
Diluted Average Shares,9501,1602046290.0,1602165331.0,1602158547.0,1602180000.0,,,,,
Basic Average Shares,9501,1602046290.0,1602165331.0,1602158547.0,1602180000.0,,,,,
Diluted EPS,9501,100.67,167.18,-77.17,0.58,,,,,
Basic EPS,9501,100.67,167.18,-77.17,1.82,,,,,
Diluted NI Availto Com Stockholders,9501,161278000000.0,267850000000.0,-123631000000.0,2916000000.0,,,,,
Net Income Common Stockholders,9501,161278000000.0,267850000000.0,-123631000000.0,2916000000.0,,,,,
Otherunder Preferred Stock Dividend,9501,0.0,0.0,0.0,0.0,,,,,
Net Income,9501,161278000000.0,267850000000.0,-123631000000.0,2916000000.0,,,,,
Minority Interests,9501,-568000000.0,-1757000000.0,-601000000.0,-860000000.0,,,,,
Net Income Including Noncontrolling Interests,9501,161846000000.0,269607000000.0,-123029000000.0,3777000000.0,,,,,
Net Income Continuous Operations,9501,161847000000.0,269608000000.0,-123029000000.0,3777000000.0,,,,,
Tax Provision,9501,36894000000.0,32737000000.0,11118000000.0,7574000000.0,,,,,
Pretax Income,9501,198741000000.0,302345000000.0,-111911000000.0,11351000000.0,,,,,
Other Non Operating Income Expenses,9501,-14273000000.0,879000000.0,-7947000000.0,-4251000000.0,,,,,
Special Income Charges,9501,-55702000000.0,-123180000000.0,173482000000.0,-23692000000.0,,,,,
Other Special Charges,9501,55702000000.0,123180000000.0,-163997000000.0,22651000000.0,,,,,
Write Off,9501,,0.0,-9485000000.0,1041000000.0,870000000.0,,,,
Net Non Operating Interest Income Expense,9501,-66666000000.0,-57050000000.0,-48003000000.0,-44258000000.0,,,,,
Interest Expense Non Operating,9501,69621000000.0,57959000000.0,48282000000.0,44622000000.0,,,,,
Interest Income Non Operating,9501,2955000000.0,909000000.0,279000000.0,364000000.0,,,,,
Operating Income,9501,234453000000.0,278856000000.0,-228970000000.0,46230000000.0,,,,,
Gross Profit,9501,234453000000.0,278856000000.0,-228970000000.0,46230000000.0,,,,,
Cost Of Revenue,9501,6575938000000.0,6639532000000.0,8341195000000.0,5263693000000.0,,,,,
Total Revenue,9501,6810391000000.0,6918388000000.0,8112225000000.0,5309923000000.0,,,,,
Operating Revenue,9501,6810391000000.0,6918388000000.0,8112225000000.0,5309923000000.0,,,,,
Tax Effect Of Unusual Items,9502,-1546272000.0,-612612000.0,891344000.0,1442869471.364648,,,,,
Tax Rate For Calcs,9502,0.224,0.187,0.232,0.097183,,,,,
Normalized EBITDA,9502,471139000000.0,702917000000.0,240965000000.0,148821000000.0,,,,,
Total Unusual Items,9502,-6903000000.0,-3276000000.0,3842000000.0,14847000000.0,,,,,
Total Unusual Items Excluding Goodwill,9502,-6903000000.0,-3276000000.0,3842000000.0,14847000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,9502,202087000000.0,403140000000.0,38231000000.0,-43022000000.0,,,,,
Reconciled Depreciation,9502,170881000000.0,172046000000.0,155927000000.0,189154000000.0,,,,,
Reconciled Cost Of Revenue,9502,3427188000000.0,3267074000000.0,3879591000000.0,2758992000000.0,,,,,
EBITDA,9502,464236000000.0,699641000000.0,244807000000.0,163668000000.0,,,,,
EBIT,9502,293355000000.0,527595000000.0,88880000000.0,-25486000000.0,,,,,
Net Interest Income,9502,-23287000000.0,-21357000000.0,-19558000000.0,-18675000000.0,,,,,
Interest Expense,9502,23859000000.0,21576000000.0,19889000000.0,18987000000.0,,,,,
Interest Income,9502,572000000.0,219000000.0,331000000.0,312000000.0,,,,,
Normalized Income,9502,207443728000.0,405803388000.0,35280344000.0,-56426130528.63535,,,,,
Net Income From Continuing And Discontinued Operation,9502,202087000000.0,403140000000.0,38231000000.0,-43022000000.0,,,,,
Total Expenses,9502,3427188000000.0,3267074000000.0,3879591000000.0,2758992000000.0,,,,,
Total Operating Income As Reported,9502,242045000000.0,343339000000.0,107089000000.0,-53830000000.0,,,,,
Diluted Average Shares,9502,,756109053.0,756300692.0,756156000.0,756232000.0,,,,
Basic Average Shares,9502,755719681.0,756109053.0,756147930.0,756156000.0,,,,,
Diluted EPS,9502,,533.177057,50.55,-56.9,194.65,,,,
Basic EPS,9502,,533.177057,50.56,-56.9,194.65,,,,
Diluted NI Availto Com Stockholders,9502,202087000000.0,403140000000.0,38231000000.0,-43022000000.0,,,,,
Net Income Common Stockholders,9502,202087000000.0,403140000000.0,38231000000.0,-43022000000.0,,,,,
Otherunder Preferred Stock Dividend,9502,0.0,0.0,0.0,0.0,,,,,
Net Income,9502,202087000000.0,403140000000.0,38231000000.0,-43022000000.0,,,,,
Minority Interests,9502,-7049000000.0,-8006000000.0,354000000.0,-2872000000.0,,,,,
Net Income Including Noncontrolling Interests,9502,209137000000.0,411146000000.0,37876000000.0,-40150000000.0,,,,,
Net Income Continuous Operations,9502,209137000000.0,411147000000.0,37877000000.0,-40151000000.0,,,,,
Tax Provision,9502,60359000000.0,94872000000.0,31114000000.0,-4322000000.0,,,,,
Pretax Income,9502,269496000000.0,506019000000.0,68991000000.0,-44473000000.0,,,,,
Other Non Operating Income Expenses,9502,-4638000000.0,-2892000000.0,-12677000000.0,4832000000.0,,,,,
Special Income Charges,9502,-502000000.0,-12484000000.0,-41476000000.0,14847000000.0,,,,,
Other Special Charges,9502,,26000000.0,27555000000.0,5510000000.0,,,,,
Write Off,9502,502000000.0,12458000000.0,13921000000.0,-20357000000.0,,,,,
Net Non Operating Interest Income Expense,9502,-23287000000.0,-21357000000.0,-19558000000.0,-18675000000.0,,,,,
Interest Expense Non Operating,9502,23859000000.0,21576000000.0,19889000000.0,18987000000.0,,,,,
Interest Income Non Operating,9502,572000000.0,219000000.0,331000000.0,312000000.0,,,,,
Operating Income,9502,242045000000.0,343340000000.0,107090000000.0,-53831000000.0,,,,,
Gross Profit,9502,242045000000.0,343340000000.0,107090000000.0,-53831000000.0,,,,,
Cost Of Revenue,9502,3427188000000.0,3267074000000.0,3879591000000.0,2758992000000.0,,,,,
Total Revenue,9502,3669233000000.0,3610414000000.0,3986681000000.0,2705161000000.0,,,,,
Operating Revenue,9502,3669233000000.0,3610414000000.0,3986681000000.0,2705161000000.0,,,,,
Tax Effect Of Unusual Items,9503,15155285000.0,-37474500000.0,194184000.0,-3024723834.147276,,,,,
Tax Rate For Calcs,9503,0.241,0.3,0.232,0.284305,,,,,
Normalized EBITDA,9503,939827000000.0,1155580000000.0,343741000000.0,478639000000.0,,,,,
Total Unusual Items,9503,62885000000.0,-124915000000.0,837000000.0,-10639000000.0,,,,,
Total Unusual Items Excluding Goodwill,9503,62885000000.0,-124915000000.0,837000000.0,-10639000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,9503,420364000000.0,441870000000.0,17679000000.0,85835000000.0,,,,,
Reconciled Depreciation,9503,373102000000.0,360552000000.0,326082000000.0,322516000000.0,,,,,
Reconciled Cost Of Revenue,9503,3868234000000.0,3330441000000.0,4003939000000.0,2752568000000.0,,,,,
EBITDA,9503,1002712000000.0,1030665000000.0,344578000000.0,468000000000.0,,,,,
EBIT,9503,629610000000.0,670113000000.0,18496000000.0,145484000000.0,,,,,
Net Interest Income,9503,-26056000000.0,-23006000000.0,-22179000000.0,-19020000000.0,,,,,
Interest Expense,9503,35038000000.0,29059000000.0,24324000000.0,20168000000.0,,,,,
Interest Income,9503,8982000000.0,6053000000.0,2145000000.0,1148000000.0,,,,,
Normalized Income,9503,372634285000.0,529310500000.0,17036184000.0,93449276165.85272,,,,,
Net Income From Continuing And Discontinued Operation,9503,420364000000.0,441870000000.0,17679000000.0,85835000000.0,,,,,
Total Expenses,9503,3868234000000.0,3330441000000.0,4003939000000.0,2752568000000.0,,,,,
Total Operating Income As Reported,9503,468877000000.0,728935000000.0,-52056000000.0,99325000000.0,,,,,
Diluted Average Shares,9503,963938637.0,892504393.0,892501269.0,892826254.0,,,,,
Basic Average Shares,9503,963938637.0,892504393.0,892501269.0,892826254.0,,,,,
Diluted EPS,9503,436.09,495.09,19.81,96.14,,,,,
Basic EPS,9503,436.09,495.09,19.81,96.14,,,,,
Diluted NI Availto Com Stockholders,9503,420364000000.0,441870000000.0,17679000000.0,85835000000.0,,,,,
Net Income Common Stockholders,9503,420364000000.0,441870000000.0,17679000000.0,85835000000.0,,,,,
Otherunder Preferred Stock Dividend,9503,0.0,0.0,0.0,0.0,,,,,
Net Income,9503,420364000000.0,441870000000.0,17679000000.0,85835000000.0,,,,,
Minority Interests,9503,-30772000000.0,-6569000000.0,-3134000000.0,-3852000000.0,,,,,
Net Income Including Noncontrolling Interests,9503,451137000000.0,448440000000.0,20814000000.0,89688000000.0,,,,,
Net Income Continuous Operations,9503,451137000000.0,448440000000.0,20815000000.0,89688000000.0,,,,,
Tax Provision,9503,143435000000.0,192614000000.0,-26643000000.0,35628000000.0,,,,,
Pretax Income,9503,594572000000.0,641054000000.0,-5828000000.0,125316000000.0,,,,,
Other Non Operating Income Expenses,9503,38681000000.0,8532000000.0,20393000000.0,32143000000.0,,,,,
Special Income Charges,9503,62885000000.0,-124915000000.0,837000000.0,-10639000000.0,,,,,
Other Special Charges,9503,-61412000000.0,126495000000.0,,10773000000.0,-4400000000.0,,,,
Write Off,9503,-1473000000.0,-1580000000.0,-837000000.0,-134000000.0,,,,,
Net Non Operating Interest Income Expense,9503,-26056000000.0,-23006000000.0,-22179000000.0,-19020000000.0,,,,,
Interest Expense Non Operating,9503,35038000000.0,29059000000.0,24324000000.0,20168000000.0,,,,,
Interest Income Non Operating,9503,8982000000.0,6053000000.0,2145000000.0,1148000000.0,,,,,
Operating Income,9503,468877000000.0,728936000000.0,-52056000000.0,99326000000.0,,,,,
Gross Profit,9503,468877000000.0,728936000000.0,-52056000000.0,99326000000.0,,,,,
Cost Of Revenue,9503,3868234000000.0,3330441000000.0,4003939000000.0,2752568000000.0,,,,,
Total Revenue,9503,4337111000000.0,4059377000000.0,3951883000000.0,2851894000000.0,,,,,
Operating Revenue,9503,4337111000000.0,4059377000000.0,3951883000000.0,2851894000000.0,,,,,
Tax Effect Of Unusual Items,9684,-780985500.0,-3894226200.0,795176500.0,662752500.0,,,,,
Tax Rate For Calcs,9684,0.3819,0.1674,0.1565,0.2733,,,,,
Normalized EBITDA,9684,50293000000.0,48942000000.0,60343000000.0,75542000000.0,,,,,
Total Unusual Items,9684,-2045000000.0,-23263000000.0,5081000000.0,2425000000.0,,,,,
Total Unusual Items Excluding Goodwill,9684,-2045000000.0,-23263000000.0,5081000000.0,2425000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,9684,24414000000.0,14912000000.0,49264000000.0,51013000000.0,,,,,
Reconciled Depreciation,9684,8463000000.0,7557000000.0,6921000000.0,7594000000.0,,,,,
Reconciled Cost Of Revenue,9684,161840000000.0,188975000000.0,167377000000.0,169960000000.0,,,,,
EBITDA,9684,48248000000.0,25679000000.0,65424000000.0,77967000000.0,,,,,
EBIT,9684,39785000000.0,18122000000.0,58503000000.0,70373000000.0,,,,,
Net Interest Income,9684,2138000000.0,1363000000.0,642000000.0,-49000000.0,,,,,
Interest Expense,9684,243000000.0,187000000.0,72000000.0,150000000.0,,,,,
Interest Income,9684,2381000000.0,1550000000.0,714000000.0,101000000.0,,,,,
Normalized Income,9684,25678014500.0,34280773800.0,44978176500.0,49250752500.0,,,,,
Net Income From Continuing And Discontinued Operation,9684,24414000000.0,14912000000.0,49264000000.0,51013000000.0,,,,,
Total Expenses,9684,283919000000.0,323779000000.0,298931000000.0,306006000000.0,,,,,
Rent Expense Supplemental,9684,5235000000.0,3174000000.0,3027000000.0,2991000000.0,,,,,
Total Operating Income As Reported,9684,40580000000.0,32558000000.0,44331000000.0,59261000000.0,,,,,
Diluted Average Shares,9684,360141614.0,359903459.0,359652496.0,359288649.0,,,,,
Basic Average Shares,9684,360123906.0,359700892.0,359052000.0,358560000.0,,,,,
Diluted EPS,9684,67.79,41.433333,136.976667,141.983333,,,,,
Basic EPS,9684,67.793333,41.456667,137.206667,142.273333,,,,,
Diluted NI Availto Com Stockholders,9684,24414000000.0,14912000000.0,49264000000.0,51013000000.0,,,,,
Net Income Common Stockholders,9684,24414000000.0,14912000000.0,49264000000.0,51013000000.0,,,,,
Otherunder Preferred Stock Dividend,9684,0.0,0.0,0.0,0.0,,,,,
Net Income,9684,24414000000.0,14912000000.0,49264000000.0,51013000000.0,,,,,
Minority Interests,9684,-26000000.0,-21000000.0,-22000000.0,-17000000.0,,,,,
Net Income Including Noncontrolling Interests,9684,24440000000.0,14933000000.0,49287000000.0,51031000000.0,,,,,
Net Income Continuous Operations,9684,24441000000.0,14934000000.0,49288000000.0,51032000000.0,,,,,
Tax Provision,9684,15101000000.0,3001000000.0,9143000000.0,19191000000.0,,,,,
Pretax Income,9684,39542000000.0,17935000000.0,58431000000.0,70223000000.0,,,,,
Other Non Operating Income Expenses,9684,-1232000000.0,-2026000000.0,-1988000000.0,-1902000000.0,,,,,
Special Income Charges,9684,-2028000000.0,-22246000000.0,4383000000.0,111000000.0,,,,,
Other Special Charges,9684,1352000000.0,22241000000.0,-4456000000.0,-220000000.0,,,,,
Write Off,9684,26000000.0,5000000.0,73000000.0,109000000.0,,,,,
Restructuring And Mergern Acquisition,9684,650000000.0,0.0,,0.0,629000000.0,,,,
Net Non Operating Interest Income Expense,9684,2138000000.0,1363000000.0,642000000.0,-49000000.0,,,,,
Interest Expense Non Operating,9684,243000000.0,187000000.0,72000000.0,150000000.0,,,,,
Interest Income Non Operating,9684,2381000000.0,1550000000.0,714000000.0,101000000.0,,,,,
Operating Income,9684,40586000000.0,32565000000.0,44335000000.0,59268000000.0,,,,,
Operating Expense,9684,122079000000.0,134804000000.0,131554000000.0,136046000000.0,,,,,
Other Operating Expenses,9684,12206000000.0,12112000000.0,10353000000.0,10314000000.0,,,,,
Depreciation And Amortization In Income Statement,9684,4015000000.0,3693000000.0,2874000000.0,3153000000.0,,,,,
Depreciation Income Statement,9684,4015000000.0,3693000000.0,2874000000.0,3153000000.0,,,,,
Selling General And Administration,9684,59708000000.0,77261000000.0,81387000000.0,83740000000.0,,,,,
Selling And Marketing Expense,9684,14800000000.0,25444000000.0,25053000000.0,25350000000.0,,,,,
General And Administrative Expense,9684,44908000000.0,51817000000.0,56334000000.0,58390000000.0,,,,,
Rent And Landing Fees,9684,5235000000.0,3174000000.0,3027000000.0,2991000000.0,,,,,
Gross Profit,9684,162665000000.0,167369000000.0,175889000000.0,195314000000.0,,,,,
Cost Of Revenue,9684,161840000000.0,188975000000.0,167377000000.0,169960000000.0,,,,,
Total Revenue,9684,324506000000.0,356344000000.0,343267000000.0,365275000000.0,,,,,
Operating Revenue,9684,324506000000.0,356344000000.0,343267000000.0,365275000000.0,,,,,
Tax Effect Of Unusual Items,9697,4192000.0,-37252000.0,-83472000.0,175826000.0,,,,,
Tax Rate For Calcs,9697,0.262,0.268,0.282,0.266,,,,,
Normalized EBITDA,9697,70390000000.0,63702000000.0,54921000000.0,47095000000.0,,,,,
Total Unusual Items,9697,16000000.0,-139000000.0,-296000000.0,661000000.0,,,,,
Total Unusual Items Excluding Goodwill,9697,16000000.0,-139000000.0,-296000000.0,661000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,9697,48453000000.0,43374000000.0,36737000000.0,32553000000.0,,,,,
Reconciled Depreciation,9697,4675000000.0,4221000000.0,3438000000.0,3385000000.0,,,,,
Reconciled Cost Of Revenue,9697,70846000000.0,67755000000.0,52110000000.0,48736000000.0,,,,,
EBITDA,9697,70406000000.0,63563000000.0,54625000000.0,47756000000.0,,,,,
EBIT,9697,65731000000.0,59342000000.0,51187000000.0,44371000000.0,,,,,
Net Interest Income,9697,1038000000.0,1099000000.0,352000000.0,-9000000.0,,,,,
Interest Expense,9697,80000000.0,60000000.0,44000000.0,49000000.0,,,,,
Interest Income,9697,1118000000.0,1159000000.0,396000000.0,40000000.0,,,,,
Normalized Income,9697,48441192000.0,43475748000.0,36949528000.0,32067826000.0,,,,,
Net Income From Continuing And Discontinued Operation,9697,48453000000.0,43374000000.0,36737000000.0,32553000000.0,,,,,
Total Expenses,9697,103826000000.0,95327000000.0,75116000000.0,67144000000.0,,,,,
Total Operating Income As Reported,9697,65777000000.0,57081000000.0,50812000000.0,42909000000.0,,,,,
Diluted Average Shares,9697,418275207.0,418239040.0,420507000.0,426998000.0,,,,,
Basic Average Shares,9697,418254000.0,418239040.0,420507000.0,426998000.0,,,,,
Diluted EPS,9697,115.84,103.706244,87.36,76.24,,,,,
Basic EPS,9697,115.85,103.706244,87.36,76.24,,,,,
Diluted NI Availto Com Stockholders,9697,48453000000.0,43374000000.0,36737000000.0,32553000000.0,,,,,
Net Income Common Stockholders,9697,48453000000.0,43374000000.0,36737000000.0,32553000000.0,,,,,
Otherunder Preferred Stock Dividend,9697,0.0,0.0,0.0,0.0,,,,,
Net Income,9697,48453000000.0,43374000000.0,36737000000.0,32553000000.0,,,,,
Minority Interests,9697,7000000.0,0.0,,,,,,,
Net Income Including Noncontrolling Interests,9697,48445000000.0,43374000000.0,36737000000.0,32553000000.0,,,,,
Net Income Continuous Operations,9697,48446000000.0,43374000000.0,36737000000.0,32554000000.0,,,,,
Tax Provision,9697,17205000000.0,15908000000.0,14406000000.0,11768000000.0,,,,,
Pretax Income,9697,65651000000.0,59282000000.0,51143000000.0,44322000000.0,,,,,
Other Non Operating Income Expenses,9697,-1691000000.0,-1089000000.0,-62000000.0,22000000.0,,,,,
Special Income Charges,9697,16000000.0,-534000000.0,-296000000.0,661000000.0,,,,,
Other Special Charges,9697,-16000000.0,34000000.0,106000000.0,-661000000.0,,,,,
Write Off,9697,,0.0,190000000.0,0.0,,,,,
Restructuring And Mergern Acquisition,9697,0.0,500000000.0,0.0,0.0,,,,,
Net Non Operating Interest Income Expense,9697,1038000000.0,1099000000.0,352000000.0,-9000000.0,,,,,
Interest Expense Non Operating,9697,80000000.0,60000000.0,44000000.0,49000000.0,,,,,
Interest Income Non Operating,9697,1118000000.0,1159000000.0,396000000.0,40000000.0,,,,,
Operating Income,9697,65777000000.0,57082000000.0,50813000000.0,42909000000.0,,,,,
Operating Expense,9697,32980000000.0,27572000000.0,23006000000.0,18408000000.0,,,,,
Gross Profit,9697,98757000000.0,84654000000.0,73819000000.0,61317000000.0,,,,,
Cost Of Revenue,9697,70846000000.0,67755000000.0,52110000000.0,48736000000.0,,,,,
Total Revenue,9697,169604000000.0,152410000000.0,125930000000.0,110054000000.0,,,,,
Operating Revenue,9697,169604000000.0,152410000000.0,125930000000.0,110054000000.0,,,,,
Tax Effect Of Unusual Items,9719,0.0,0.0,0.0,0.0,,,,,
Tax Rate For Calcs,9719,0.289,0.293,0.3,0.3,,,,,
Normalized EBITDA,9719,93150000000.0,80446000000.0,74554000000.0,68783000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,9719,45035000000.0,40461000000.0,37301000000.0,33470000000.0,,,,,
Reconciled Depreciation,9719,24866000000.0,21433000000.0,20629000000.0,19881000000.0,,,,,
Reconciled Cost Of Revenue,9719,436589000000.0,352336000000.0,328232000000.0,305962000000.0,,,,,
EBITDA,9719,93150000000.0,80446000000.0,74554000000.0,68783000000.0,,,,,
EBIT,9719,68284000000.0,59013000000.0,53925000000.0,48902000000.0,,,,,
Net Interest Income,9719,-1988000000.0,-939000000.0,1062000000.0,-493000000.0,,,,,
Interest Expense,9719,2737000000.0,1554000000.0,589000000.0,587000000.0,,,,,
Interest Income,9719,749000000.0,615000000.0,1651000000.0,94000000.0,,,,,
Normalized Income,9719,45035000000.0,40461000000.0,37301000000.0,33470000000.0,,,,,
Net Income From Continuing And Discontinued Operation,9719,45035000000.0,40461000000.0,37301000000.0,33470000000.0,,,,,
Total Expenses,9719,529943000000.0,423302000000.0,394550000000.0,366594000000.0,,,,,
Total Operating Income As Reported,9719,66121000000.0,57004000000.0,51361000000.0,47555000000.0,,,,,
Diluted Average Shares,9719,312526024.0,312416030.0,312309327.0,312221214.0,,,,,
Basic Average Shares,9719,312526024.0,312416030.0,312309327.0,312221214.0,,,,,
Diluted EPS,9719,,129.51,119.44,107.2,107.09,,,,
Basic EPS,9719,,129.51,119.44,107.2,107.09,,,,
Diluted NI Availto Com Stockholders,9719,45035000000.0,40461000000.0,37301000000.0,33470000000.0,,,,,
Net Income Common Stockholders,9719,45035000000.0,40461000000.0,37301000000.0,33470000000.0,,,,,
Otherunder Preferred Stock Dividend,9719,0.0,0.0,0.0,0.0,,,,,
Net Income,9719,45035000000.0,40461000000.0,37301000000.0,33470000000.0,,,,,
Minority Interests,9719,-1459000000.0,-123000000.0,-35000000.0,-28000000.0,,,,,
Net Income Including Noncontrolling Interests,9719,46495000000.0,40584000000.0,37337000000.0,33498000000.0,,,,,
Net Income Continuous Operations,9719,46495000000.0,40585000000.0,37337000000.0,33499000000.0,,,,,
Tax Provision,9719,19052000000.0,16874000000.0,15999000000.0,14816000000.0,,,,,
Pretax Income,9719,65547000000.0,57459000000.0,53336000000.0,48315000000.0,,,,,
Net Non Operating Interest Income Expense,9719,-1988000000.0,-939000000.0,1062000000.0,-493000000.0,,,,,
Interest Expense Non Operating,9719,2737000000.0,1554000000.0,589000000.0,587000000.0,,,,,
Interest Income Non Operating,9719,749000000.0,615000000.0,1651000000.0,94000000.0,,,,,
Operating Income,9719,66122000000.0,57005000000.0,51361000000.0,47555000000.0,,,,,
Operating Expense,9719,93354000000.0,70966000000.0,66318000000.0,60632000000.0,,,,,
Other Operating Expenses,9719,3444000000.0,682000000.0,288000000.0,167000000.0,,,,,
Selling General And Administration,9719,91515000000.0,70940000000.0,66491000000.0,60780000000.0,,,,,
